id,name,mimeType,size,modifiedTime,path,parent,type,subtype,title,extension
1fIbA7wOIwvtaWkeMdkvauqmyA3kOxgbs,2012 5-4 MARAD Visit Itinerary.docx,application/vnd.openxmlformats-officedocument.wordprocessingml.document,71658,2025-11-19T18:56:20.000Z,MPA/Cruise Maine Files/CruiseMaineUSA Files/Files/Marine Highway,Marine Highway,application,vnd.openxmlformats-officedocument.wordprocessingml.document,2012 5-4 MARAD Visit Itinerary,docx
1p2jMe3IKvnop-XQ-pO_piFbIaxxB73vp,Pingree says federal grant will help design new vessel to provide cargo service for Portland.docx,application/vnd.openxmlformats-officedocument.wordprocessingml.document,20212,2025-11-19T18:56:20.000Z,MPA/Cruise Maine Files/CruiseMaineUSA Files/Files/Marine Highway,Marine Highway,application,vnd.openxmlformats-officedocument.wordprocessingml.document,Pingree says federal grant will help design new vessel to provide cargo service for Portland,docx
1xniuGJh1eD-nf_epVjD5xVzw6NrAI14-,NEMHP Coop Close out.docx,application/vnd.openxmlformats-officedocument.wordprocessingml.document,21209,2025-11-19T18:56:20.000Z,MPA/Cruise Maine Files/CruiseMaineUSA Files/Files/Marine Highway,Marine Highway,application,vnd.openxmlformats-officedocument.wordprocessingml.document,NEMHP Coop Close out,docx
1KgRujDWMvubXdK7w85fMYw8Lf06vMveY,Cooperative Agreement - Maine DOT V2  081012(ScottJay).docx,application/vnd.openxmlformats-officedocument.wordprocessingml.document,64764,2025-11-19T18:56:20.000Z,MPA/Cruise Maine Files/CruiseMaineUSA Files/Files/Marine Highway,Marine Highway,application,vnd.openxmlformats-officedocument.wordprocessingml.document,Cooperative Agreement - Maine DOT V2  081012(ScottJay),docx
1q26pcAYngvLz2cjilW4zZGqAn-8jPm91,IMT Engineering Design Issues.docx,application/vnd.openxmlformats-officedocument.wordprocessingml.document,23510,2025-11-19T18:56:00.000Z,MPA/Cruise Maine Files/CruiseMaineUSA Files/Files/IMT,IMT,application,vnd.openxmlformats-officedocument.wordprocessingml.document,IMT Engineering Design Issues,docx
1qhxPMxrgLZoFMC1SRuTUJ1oC6EbNKBwl,Interview.docx,application/vnd.openxmlformats-officedocument.wordprocessingml.document,21946,2025-11-19T18:56:00.000Z,MPA/Cruise Maine Files/CruiseMaineUSA Files/Files/IMT,IMT,application,vnd.openxmlformats-officedocument.wordprocessingml.document,Interview,docx
1X0os8BVAhYmZpTl2QDzNLPZI5yiM6WQ4,Ports America Terminal Damage Timeline.docx,application/vnd.openxmlformats-officedocument.wordprocessingml.document,22317,2025-11-19T18:56:00.000Z,MPA/Cruise Maine Files/CruiseMaineUSA Files/Files/IMT,IMT,application,vnd.openxmlformats-officedocument.wordprocessingml.document,Ports America Terminal Damage Timeline,docx
1-cN_dMTYCvq35HHYIW1l1Y8BkHV4_0jW,Rail Switching Agreement final.docx,application/vnd.openxmlformats-officedocument.wordprocessingml.document,36559,2025-11-19T18:56:00.000Z,MPA/Cruise Maine Files/CruiseMaineUSA Files/Files/IMT,IMT,application,vnd.openxmlformats-officedocument.wordprocessingml.document,Rail Switching Agreement final,docx
1tIXMErBKKWUDrswfsog988wte1vwiFwi,MIPPP Press Release.docx,application/vnd.openxmlformats-officedocument.wordprocessingml.document,21678,2025-11-19T18:56:00.000Z,MPA/Cruise Maine Files/CruiseMaineUSA Files/Files/IMT,IMT,application,vnd.openxmlformats-officedocument.wordprocessingml.document,MIPPP Press Release,docx
1HSNNFx7SQuFy42cnWTP63hse_N2DdRJF,shipagentscontactlist11311.docx,application/vnd.openxmlformats-officedocument.wordprocessingml.document,111488,2025-11-19T18:55:57.000Z,MPA/Cruise Maine Files/CruiseMaineUSA Files/Files/CruiseMaine,CruiseMaine,application,vnd.openxmlformats-officedocument.wordprocessingml.document,shipagentscontactlist11311,docx
