id,name,mimeType,size,modifiedTime,path,parent,type,subtype,title,extension
12rqbCqn07HOtvQ6Qisj5fAtV8umurG34,2004.08.18 Pier 2 Berth 2.pdf,application/pdf,990036,2025-11-19T18:56:44.000Z,MPA/Cruise Maine Files/CruiseMaineUSA Files/Files/Ocean Gateway,Ocean Gateway,application,pdf,2004.08.18 Pier 2 Berth 2,pdf
11Dg6WEZjmqU0p_6xkGtwx0VFbNIob9Ku,LTR 01  To Jay Clement   10-03-11.pdf,application/pdf,1497374,2025-11-19T18:56:44.000Z,MPA/Cruise Maine Files/CruiseMaineUSA Files/Files/Ocean Gateway,Ocean Gateway,application,pdf,LTR 01  To Jay Clement   10-03-11,pdf
1wfoPMssCzM36xge7RTzEP6FoO9MZhSNn,2004.08.12 Cost Estimate.pdf,application/pdf,31917,2025-11-19T18:56:44.000Z,MPA/Cruise Maine Files/CruiseMaineUSA Files/Files/Ocean Gateway,Ocean Gateway,application,pdf,2004.08.12 Cost Estimate,pdf
1chi2Sc1RkTNBmrEm-uiCEyaR7ww1_V89,AG opinion 7-16-1980.pdf,application/pdf,629090,2025-11-19T18:56:44.000Z,MPA/Cruise Maine Files/CruiseMaineUSA Files/Files/Ocean Gateway,Ocean Gateway,application,pdf,AG opinion 7-16-1980,pdf
1U7zC_8y7GBpt2Gh6cGsC116PHFvPN9Ek,AG opinion 3-13-1979.pdf,application/pdf,367427,2025-11-19T18:56:44.000Z,MPA/Cruise Maine Files/CruiseMaineUSA Files/Files/Ocean Gateway,Ocean Gateway,application,pdf,AG opinion 3-13-1979,pdf
1qqGGs5WV3R9FjMl_kHcZhsGJlY3F0r35,2011.02.09 Submerged Lands Plan.pdf,application/pdf,609695,2025-11-19T18:56:44.000Z,MPA/Cruise Maine Files/CruiseMaineUSA Files/Files/Ocean Gateway,Ocean Gateway,application,pdf,2011.02.09 Submerged Lands Plan,pdf
1gnPz7RbEdb_8XKzOUywMcDRC_tVdOHUW,2011.01.13 PSprague to JHenshaw Submerged Lands Release.pdf,application/pdf,971762,2025-11-19T18:56:44.000Z,MPA/Cruise Maine Files/CruiseMaineUSA Files/Files/Ocean Gateway,Ocean Gateway,application,pdf,2011.01.13 PSprague to JHenshaw Submerged Lands Release,pdf
1mD2AtcpsEh0Big1bSxoqInwx0A9hW96s,Wind%20Energy%20Show%20Ad[1].pdf,application/pdf,8203406,2025-11-19T18:56:44.000Z,MPA/Cruise Maine Files/CruiseMaineUSA Files/Files/MWII,MWII,application,pdf,Wind%20Energy%20Show%20Ad[1],pdf
1pQsXEPB0ITZIhKMqHIwYiCOkar3tX6e3,WPM NA Reg Dev & Invstmnt Gde 2.pdf,application/pdf,2853414,2025-11-19T18:56:44.000Z,MPA/Cruise Maine Files/CruiseMaineUSA Files/Files/MWII,MWII,application,pdf,WPM NA Reg Dev & Invstmnt Gde 2,pdf
1Om6b9O851nRPhJmT37RPpBv_TdPsar_M,Worldwide Turbine and Blade Manufacturers April 2010.pdf,application/pdf,133931,2025-11-19T18:56:44.000Z,MPA/Cruise Maine Files/CruiseMaineUSA Files/Files/MWII,MWII,application,pdf,Worldwide Turbine and Blade Manufacturers April 2010,pdf
