id,name,mimeType,size,modifiedTime,path,parent,type,subtype,title,extension
19CyLYl-So2Fo32gxoCYFu3hvzw6r6nsP,File 4 Nyaa Science - Cost Proposal.pdf,application/pdf,249934,2025-11-19T18:51:05.000Z,MPA/Cruise/Cruise Visitor Profile Research & Economic Impact/2025 - RFP# 202412222/NYAA Public & Environmental Health,NYAA Public & Environmental Health,application,pdf,File 4 Nyaa Science - Cost Proposal,pdf
1R4bCnNnpLd0d15M8w6BTuYMY2pHkABfM,File 1 Nyaa Science - Preliminary Information.pdf,application/pdf,182080,2025-11-19T18:51:03.000Z,MPA/Cruise/Cruise Visitor Profile Research & Economic Impact/2025 - RFP# 202412222/NYAA Public & Environmental Health,NYAA Public & Environmental Health,application,pdf,File 1 Nyaa Science - Preliminary Information,pdf
1MjfZjXyjHR_kbNcOiophEoVvh3SI3RnU,Braun Research Proposed Services.pdf,application/pdf,540769,2025-11-19T18:50:52.000Z,MPA/Cruise/Cruise Visitor Profile Research & Economic Impact/2025 - RFP# 202412222/Bruan Research,Bruan Research,application,pdf,Braun Research Proposed Services,pdf
1bMByDolkeLcanKhdGuEoxLABnGWSDaV1,Braun Research Organization Qualifications and Experience.pdf,application/pdf,502650,2025-11-19T18:50:52.000Z,MPA/Cruise/Cruise Visitor Profile Research & Economic Impact/2025 - RFP# 202412222/Bruan Research,Bruan Research,application,pdf,Braun Research Organization Qualifications and Experience,pdf
1rggosjJoJpZgD9OmPSzmMJh-pQpRVi5s,Braun Research – Preliminary Information.pdf,application/pdf,457126,2025-11-19T18:50:51.000Z,MPA/Cruise/Cruise Visitor Profile Research & Economic Impact/2025 - RFP# 202412222/Bruan Research,Bruan Research,application,pdf,Braun Research – Preliminary Information,pdf
1HjJCo4u1Ni6s9obVShRQge0arb3uN2m3,Braun Research Certificate of Insurance (1).pdf,application/pdf,47777,2025-11-19T18:50:51.000Z,MPA/Cruise/Cruise Visitor Profile Research & Economic Impact/2025 - RFP# 202412222/Bruan Research,Bruan Research,application,pdf,Braun Research Certificate of Insurance (1),pdf
1Xik6b-NKQgrEi_Z_ncPT2i8XwX0S-Vnh,Braun Research Cost Proposal.pdf,application/pdf,424427,2025-11-19T18:50:51.000Z,MPA/Cruise/Cruise Visitor Profile Research & Economic Impact/2025 - RFP# 202412222/Bruan Research,Bruan Research,application,pdf,Braun Research Cost Proposal,pdf
1KF78stvVIEpOaOLnPeiZ3P0p5l-f17jo,File 4 Downs & St. Germain Research - Cost Proposal.pdf,application/pdf,95448,2025-11-19T18:51:01.000Z,MPA/Cruise/Cruise Visitor Profile Research & Economic Impact/2025 - RFP# 202412222/Downs & St. Germain,Downs & St. Germain,application,pdf,File 4 Downs & St. Germain Research - Cost Proposal,pdf
19YQvEhGfJAgfALD2DSCzcDSo8xcBKzyH,File 3 Downs & St. Germain Research - Proposed Services.pdf,application/pdf,172073,2025-11-19T18:51:01.000Z,MPA/Cruise/Cruise Visitor Profile Research & Economic Impact/2025 - RFP# 202412222/Downs & St. Germain,Downs & St. Germain,application,pdf,File 3 Downs & St. Germain Research - Proposed Services,pdf
1KrBaZGuFHGof3Sb5R9o3bt3o7rZWdiew,File 1 Downs & St. Germain Research - Preliminary Information.pdf,application/pdf,203512,2025-11-19T18:50:59.000Z,MPA/Cruise/Cruise Visitor Profile Research & Economic Impact/2025 - RFP# 202412222/Downs & St. Germain,Downs & St. Germain,application,pdf,File 1 Downs & St. Germain Research - Preliminary Information,pdf
1K7GGItHhdoHw1fiIQULxb-QLOLM28Wbi,File 3 The MassINC Polling Group - Proposed Services.pdf,application/pdf,205899,2025-11-19T18:51:03.000Z,MPA/Cruise/Cruise Visitor Profile Research & Economic Impact/2025 - RFP# 202412222/MassINC Polling Group,MassINC Polling Group,application,pdf,File 3 The MassINC Polling Group - Proposed Services,pdf
1dW7zV_OdgVt6JUftdNapNAUlsCKOTW9m,File 4 The MassINC Polling Group - Cost Proposal.pdf,application/pdf,118479,2025-11-19T18:51:03.000Z,MPA/Cruise/Cruise Visitor Profile Research & Economic Impact/2025 - RFP# 202412222/MassINC Polling Group,MassINC Polling Group,application,pdf,File 4 The MassINC Polling Group - Cost Proposal,pdf
19lmZrC_2qSteNaFtVWdTMo3-LyaDa91o,File 1 The MassINC Polling Group – Preliminary Information.pdf,application/pdf,355803,2025-11-19T18:51:01.000Z,MPA/Cruise/Cruise Visitor Profile Research & Economic Impact/2025 - RFP# 202412222/MassINC Polling Group,MassINC Polling Group,application,pdf,File 1 The MassINC Polling Group – Preliminary Information,pdf
1BFUfMBwtyfhueZnxpWnE25AIiXdr3l-1,"File 3 Digital Research, Inc. - Proposed Services.pdf",application/pdf,858430,2025-11-19T18:50:59.000Z,MPA/Cruise/Cruise Visitor Profile Research & Economic Impact/2025 - RFP# 202412222/Digital Research Inc,Digital Research Inc,application,pdf,"File 3 Digital Research, Inc. - Proposed Services",pdf
1LC9o_8eM5i4wuQl7dP5iRqa5IQR_C59-,"File 4 Digital Research, Inc. - Cost Proposal.pdf",application/pdf,636380,2025-11-19T18:50:59.000Z,MPA/Cruise/Cruise Visitor Profile Research & Economic Impact/2025 - RFP# 202412222/Digital Research Inc,Digital Research Inc,application,pdf,"File 4 Digital Research, Inc. - Cost Proposal",pdf
1fUUAn3rik0N_5BUxeprFAxefHsfQC7zo,"File 1 Digital Research, Inc. - Preliminary Information.pdf",application/pdf,619333,2025-11-19T18:50:52.000Z,MPA/Cruise/Cruise Visitor Profile Research & Economic Impact/2025 - RFP# 202412222/Digital Research Inc,Digital Research Inc,application,pdf,"File 1 Digital Research, Inc. - Preliminary Information",pdf
1bD1HY7J60S16mL1VPSZVYYPN7fXCRHEg,2023 - CMP Shore Power Report Final.pdf,application/pdf,727393,2025-11-19T18:50:51.000Z,MPA/Cruise,Cruise,application,pdf,2023 - CMP Shore Power Report Final,pdf
1T7ohbCurbkHCFS-FWitY1QrqQKGCn5tS,FY23 - PortlandME Budget Details.pdf,application/pdf,5253365,2025-11-19T18:50:51.000Z,MPA/Cruise,Cruise,application,pdf,FY23 - PortlandME Budget Details,pdf
1sxxowsAVitxkFbJ52ra3e4Xzfe6zOdS4,2023.03.08 - CBP Letter Regarding Ocean Gateway Improvements and Cruise Ship Processing.pdf,application/pdf,763940,2025-11-19T18:50:51.000Z,MPA/Cruise,Cruise,application,pdf,2023.03.08 - CBP Letter Regarding Ocean Gateway Improvements and Cruise Ship Processing,pdf
1pWGfMZTOZsfGziSOmaPTrL1YvUiHkai-,MDOT-MePA Coop Liebherr Parts.pdf,application/pdf,332337,2025-11-19T18:50:51.000Z,MPA/Contracts/Sprague/Liebherr Upgrade,Liebherr Upgrade,application,pdf,MDOT-MePA Coop Liebherr Parts,pdf
1gAQdusJDYKWNY-uRl7b2FXV7pqwFgwTl,RAM Upgrade Rotator Quote.pdf,application/pdf,171052,2025-11-19T18:50:51.000Z,MPA/Contracts/Sprague/Liebherr Upgrade,Liebherr Upgrade,application,pdf,RAM Upgrade Rotator Quote,pdf
1jDPsqLlF3LNsDzBSZxYfmqq28Sw34efI,INV-DAR-21036685-68503957900031840098.pdf,application/pdf,170881,2025-11-19T18:50:51.000Z,MPA/Contracts/Sprague/Liebherr Upgrade,Liebherr Upgrade,application,pdf,INV-DAR-21036685-68503957900031840098,pdf
1mJMHRtv5_2KTkxI_xG-hFteqihcNNphC,MePA MDOT Liebherr RAM 6.14.18.pdf,application/pdf,44538,2025-11-19T18:50:51.000Z,MPA/Contracts/Sprague/Liebherr Upgrade,Liebherr Upgrade,application,pdf,MePA MDOT Liebherr RAM 6.14.18,pdf
1u3hfJj_ooa9Gy4920hjXyTifcuUVSnti,Executed Liebherr RAM Modification Agreement.pdf,application/pdf,45961,2025-11-19T18:50:51.000Z,MPA/Contracts/Sprague/Liebherr Upgrade,Liebherr Upgrade,application,pdf,Executed Liebherr RAM Modification Agreement,pdf
1tZNrYj3y3YI7Rwj6vfCOdjYMLc0vW2U8,RAM Revolver mod executed.pdf,application/pdf,187159,2025-11-19T18:50:51.000Z,MPA/Contracts/Sprague/RAM Revolver,RAM Revolver,application,pdf,RAM Revolver mod executed,pdf
1DiilV9Do9p1D2JO8rWSl25kk9-2OGUuF,RAM Quote.pdf,application/pdf,3615858,2025-11-19T18:50:51.000Z,MPA/Contracts/Sprague/RAM Revolver,RAM Revolver,application,pdf,RAM Quote,pdf
1cXPMg8inJ17vdrajZ98pSWknXDNHDM6G,RAM Revolver signed 3.27.18.pdf,application/pdf,197546,2025-11-19T18:50:51.000Z,MPA/Contracts/Sprague/RAM Revolver,RAM Revolver,application,pdf,RAM Revolver signed 3.27.18,pdf
1AqS_YybT2nXIemmbJeYP-eh9e2D-l8eY,Ram Revolver - Executed Coop Agreement 3.13.18.pdf,application/pdf,4391941,2025-11-19T18:50:51.000Z,MPA/Contracts/Sprague/RAM Revolver,RAM Revolver,application,pdf,Ram Revolver - Executed Coop Agreement 3.13.18,pdf
1J0S-NShV17qcQhnaB3LsP92dY9qITll7,MePA - Troy Hopper Agreement.pdf,application/pdf,1667268,2025-11-19T18:50:51.000Z,MPA/Contracts/Sprague/Hopper Project,Hopper Project,application,pdf,MePA - Troy Hopper Agreement,pdf
1DqqdCMloKpiSkBAcdk_gX2_kUgb_OzDB,HNTB Hopper Wage Waiver.pdf,application/pdf,46863,2025-11-19T18:50:50.000Z,MPA/Contracts/Sprague/Hopper Project,Hopper Project,application,pdf,HNTB Hopper Wage Waiver,pdf
1knqH0IwWdU8kc6UK-c5Ru1IWaR1HmbNd,HNTB Hopper Proposal.pdf,application/pdf,484042,2025-11-19T18:50:50.000Z,MPA/Contracts/Sprague/Hopper Project,Hopper Project,application,pdf,HNTB Hopper Proposal,pdf
1wxL3dj012xvwA--7Mx6MTwR1xMQ1fR8M,HNTB Asst Letter.pdf,application/pdf,398055,2025-11-19T18:50:50.000Z,MPA/Contracts/Sprague/Hopper Project,Hopper Project,application,pdf,HNTB Asst Letter,pdf
1WtxvsA16iJXtfXJ749REYOA1sx_R0xel,HNTB Hopper Asst Ltr Ext.pdf,application/pdf,45164,2025-11-19T18:50:50.000Z,MPA/Contracts/Sprague/Hopper Project,Hopper Project,application,pdf,HNTB Hopper Asst Ltr Ext,pdf
1y6j5AkydJH2g5I11eVgY0h3Q7gq5deCw,MPA Crane RFQ Questions.pdf,application/pdf,100582,2025-11-19T18:50:50.000Z,MPA/Contracts/RFPRFQ/RFQ/MPA Crane,MPA Crane,application,pdf,MPA Crane RFQ Questions,pdf
15j6K-I1twMyJL3Yq7ZhCX_--FTUq15SJ,Mobile Harbor Crane MPA Final.pdf,application/pdf,842955,2025-11-19T18:50:50.000Z,MPA/Contracts/RFPRFQ/RFQ/MPA Crane,MPA Crane,application,pdf,Mobile Harbor Crane MPA Final,pdf
1WZCq08_Cop0O28_rfMGc8LQ3ixzV6zKe,201712 - Mobile Harbor Crane MPA Final.pdf,application/pdf,842955,2025-11-19T18:50:50.000Z,MPA/Contracts/RFPRFQ/RFQ/MPA Crane,MPA Crane,application,pdf,201712 - Mobile Harbor Crane MPA Final,pdf
1nQZrCB54L98n5po7O4eXKiN1Vyc-6w6l,Soli DG Proposal.pdf,application/pdf,472550,2025-11-19T18:50:48.000Z,MPA/Contracts/RFPRFQ/RFP's/IMT M&O,IMT M&O,application,pdf,Soli DG Proposal,pdf
1L8sduCfy-qHm3RXWk0-wiMmQ-Zh9Iwoy,MM&O RFP Questions.pdf,application/pdf,172846,2025-11-19T18:50:48.000Z,MPA/Contracts/RFPRFQ/RFP's/IMT M&O,IMT M&O,application,pdf,MM&O RFP Questions,pdf
1cZi_bQWhtS-ARAP6MM8uuOzlo2AFc5Gb,IMT MO RFP 2018.pdf,application/pdf,380038,2025-11-19T18:50:48.000Z,MPA/Contracts/RFPRFQ/RFP's/IMT M&O,IMT M&O,application,pdf,IMT MO RFP 2018,pdf
1Hmt4wqDl2gY4mk5cKiMIBauRQoGoEGDT,IMT M&O RFP.pdf,application/pdf,1383583,2025-11-19T18:50:48.000Z,MPA/Contracts/RFPRFQ/RFP's/IMT M&O,IMT M&O,application,pdf,IMT M&O RFP,pdf
1vDXfdimC0hCJUakpkoXwxos_M3oN4Tx0,Award Process Checklist.pdf,application/pdf,489485,2025-11-19T18:50:48.000Z,MPA/Contracts/RFPRFQ/RFP's/DOT Guide,DOT Guide,application,pdf,Award Process Checklist,pdf
1fIJUbykwCQv2LQCmMca8Nhm7-tAeRpYF,Consultant selection Checklist.pdf,application/pdf,503548,2025-11-19T18:50:48.000Z,MPA/Contracts/RFPRFQ/RFP's/DOT Guide,DOT Guide,application,pdf,Consultant selection Checklist,pdf
1rNHfnU0ByD1qOz4O1-PwrXMb_XEgCjYM,Award Process Flowchart.pdf,application/pdf,315406,2025-11-19T18:50:48.000Z,MPA/Contracts/RFPRFQ/RFP's/DOT Guide,DOT Guide,application,pdf,Award Process Flowchart,pdf
14prra8xDRu7BilTBleib8d7hZ99g9_v5,RFQ_ 17A 17072700000000000051.pdf,application/pdf,872569,2025-11-19T18:50:48.000Z,MPA/Contracts/RFPRFQ/RFP's,RFP's,application,pdf,RFQ_ 17A 17072700000000000051,pdf
1DEhUQ5XwcRoxLXOuHGnzn-oxOizqlZop,IMT Agreement Final 5.17.18.pdf,application/pdf,154095,2025-11-19T18:50:47.000Z,MPA/Contracts/MPA Contracts/Soli DG/Drafts,Drafts,application,pdf,IMT Agreement Final 5.17.18,pdf
1jNuN-VuKQIX1pWi98VkbRb1XZGgePlHI,Amendment 3 Rail Services.pdf,application/pdf,513403,2025-11-19T18:50:47.000Z,MPA/Contracts/MPA Contracts/Soli DG/Soli DG Contract 2014 w mods,Soli DG Contract 2014 w mods,application,pdf,Amendment 3 Rail Services,pdf
