id,name,mimeType,size,modifiedTime,path,parent,type,subtype,title,extension
1maKs9GnN6pVXSPbCB6IpTD8M1GQfSm1e,Bryant letter.docx,application/vnd.openxmlformats-officedocument.wordprocessingml.document,18797,2025-11-19T18:55:16.000Z,MPA/Cruise Maine Files/Cruise Maine Files/CruiseMaineUSA Files/Files/TIGER,TIGER,application,vnd.openxmlformats-officedocument.wordprocessingml.document,Bryant letter,docx
1bS8jJyhNEMKc7JNc2j--8t2Pfvxn1Mto,Close_out Documents Checklist Template.docx,application/vnd.openxmlformats-officedocument.wordprocessingml.document,20851,2025-11-19T18:55:16.000Z,MPA/Cruise Maine Files/Cruise Maine Files/CruiseMaineUSA Files/Files/TIGER,TIGER,application,vnd.openxmlformats-officedocument.wordprocessingml.document,Close_out Documents Checklist Template,docx
1xHnyy1RdQV1bGRLeGggSFR-lLtpJlDZl,grant extension letter.docx,application/vnd.openxmlformats-officedocument.wordprocessingml.document,19008,2025-11-19T18:55:16.000Z,MPA/Cruise Maine Files/Cruise Maine Files/CruiseMaineUSA Files/Files/TIGER,TIGER,application,vnd.openxmlformats-officedocument.wordprocessingml.document,grant extension letter,docx
1jTSQJSg3K7HKTSV5mmc80XTpm8iv4eQs,PSG Funding Summary.docx,application/vnd.openxmlformats-officedocument.wordprocessingml.document,18367,2025-11-19T18:55:05.000Z,MPA/Cruise Maine Files/Cruise Maine Files/CruiseMaineUSA Files/Files/Portland-IMT,Portland-IMT,application,vnd.openxmlformats-officedocument.wordprocessingml.document,PSG Funding Summary,docx
1BVlqJmS-usm_zxOkoGBcWKaIKMNvX9y1,Reach Stacker Sales Contract.docx,application/vnd.openxmlformats-officedocument.wordprocessingml.document,154167,2025-11-19T18:55:05.000Z,MPA/Cruise Maine Files/Cruise Maine Files/CruiseMaineUSA Files/Files/Portland-IMT,Portland-IMT,application,vnd.openxmlformats-officedocument.wordprocessingml.document,Reach Stacker Sales Contract,docx
1i33tO04pYrmg-ahFKXwZAA0qGamUJWaj,reach stacker sole source justification.docx,application/vnd.openxmlformats-officedocument.wordprocessingml.document,21197,2025-11-19T18:55:05.000Z,MPA/Cruise Maine Files/Cruise Maine Files/CruiseMaineUSA Files/Files/Portland-IMT,Portland-IMT,application,vnd.openxmlformats-officedocument.wordprocessingml.document,reach stacker sole source justification,docx
1umQ5RQF2eeHaCP9EMNz4F-PcO-M5xi-O,International Marine Terminal RFP.docx,application/vnd.openxmlformats-officedocument.wordprocessingml.document,1305951,2025-11-19T18:55:04.000Z,MPA/Cruise Maine Files/Cruise Maine Files/CruiseMaineUSA Files/Files/Portland-IMT,Portland-IMT,application,vnd.openxmlformats-officedocument.wordprocessingml.document,International Marine Terminal RFP,docx
1RWMCG7-9duCWL4sNe2VlY2Q2Xe-Y8Gcx,IMT Req for Proposal T&B Rev 7.22.11.docx,application/vnd.openxmlformats-officedocument.wordprocessingml.document,1293121,2025-11-19T18:55:03.000Z,MPA/Cruise Maine Files/Cruise Maine Files/CruiseMaineUSA Files/Files/Portland-IMT,Portland-IMT,application,vnd.openxmlformats-officedocument.wordprocessingml.document,IMT Req for Proposal T&B Rev 7.22.11,docx
1Gnv8WxBDvyOCDDlxIZ8raoA0xOjeAyJH,CAD Cell Fact Sheet Final Oct 09.docx,application/vnd.openxmlformats-officedocument.wordprocessingml.document,33515,2025-11-19T18:55:02.000Z,MPA/Cruise Maine Files/Cruise Maine Files/CruiseMaineUSA Files/Files/Portland-IMT,Portland-IMT,application,vnd.openxmlformats-officedocument.wordprocessingml.document,CAD Cell Fact Sheet Final Oct 09,docx
1rHF5249iOrIeoF003LHKWa0dFg57Ql32,Draft Agenda StatoilHydro 9 27 09.docx,application/vnd.openxmlformats-officedocument.wordprocessingml.document,21116,2025-11-19T18:54:33.000Z,MPA/Cruise Maine Files/Cruise Maine Files/CruiseMaineUSA Files/Files/MWII,MWII,application,vnd.openxmlformats-officedocument.wordprocessingml.document,Draft Agenda StatoilHydro 9 27 09,docx
